incident_id,date,state,lga,incident_type,kidnapped,killed,perpetrator,region,source
212,12/24/2022,Sokoto,Rabah,School Abduction,58,19,ISWAP,North West,Simulated (patterned on media reports)
742,1/15/2023,Kogi,Ankpa,Terror Attack,4,11,Armed Bandits,North Central,Simulated (patterned on media reports)
689,8/26/2020,Adamawa,Yola North,Bandit Attack,5,23,Unknown Gunmen,North East,Simulated (patterned on media reports)
334,10/10/2024,Kebbi,Argungu,Bandit Attack,42,1,Boko Haram,North West,Simulated (patterned on media reports)
543,5/9/2025,Kano,Tarauni,Kidnapping,146,20,Armed Bandits,North West,Simulated (patterned on media reports)
345,11/10/2025,Kebbi,Birnin Kebbi,Bandit Attack,17,39,Boko Haram,North West,Simulated (patterned on media reports)
31,5/9/2024,Zamfara,Shinkafi,School Abduction,135,3,Boko Haram,North West,Simulated (patterned on media reports)
838,10/6/2024,Sokoto,Illela,Bandit Attack,67,19,Armed Bandits,North West,Simulated (patterned on media reports)
659,4/21/2021,Abia,Aba South,Kidnapping,37,1,Unknown Gunmen,South East,Simulated (patterned on media reports)
523,12/10/2024,Zamfara,Talata Mafara,School Abduction,144,25,Unknown Gunmen,North West,Simulated (patterned on media reports)
261,11/15/2024,Kogi,Lokoja,Kidnapping,25,5,ISWAP,North Central,Simulated (patterned on media reports)
757,8/19/2023,Kano,Fagge,Kidnapping,97,16,ISWAP,North West,Simulated (patterned on media reports)
299,12/5/2020,Adamawa,Numan,School Abduction,42,18,ISWAP,North East,Simulated (patterned on media reports)
532,2/9/2025,Yobe,Potiskum,Kidnapping,143,10,Unknown Gunmen,North East,Simulated (patterned on media reports)
616,7/11/2025,Adamawa,Mubi North,Terror Attack,77,22,Armed Bandits,North East,Simulated (patterned on media reports)
676,2/27/2023,Borno,Dikwa,Terror Attack,78,11,ISWAP,North East,Simulated (patterned on media reports)
24,10/19/2025,Kebbi,Jega,Kidnapping,16,8,ISWAP,North West,Simulated (patterned on media reports)
590,2/1/2021,Kaduna,Kauru,School Abduction,50,9,Boko Haram,North West,Simulated (patterned on media reports)
432,11/29/2023,Katsina,Dutsin-Ma,Kidnapping,48,18,Unknown Gunmen,North West,Simulated (patterned on media reports)
210,6/24/2020,Yobe,Geidam,Terror Attack,5,10,Armed Bandits,North East,Simulated (patterned on media reports)
64,11/30/2021,Katsina,Kankara,Bandit Attack,17,14,Unknown Gunmen,North West,Simulated (patterned on media reports)
240,5/28/2021,Kano,Tarauni,Bandit Attack,53,20,Unknown Gunmen,North West,Simulated (patterned on media reports)
371,6/4/2024,Kwara,Ilorin West,Terror Attack,62,12,Boko Haram,North Central,Simulated (patterned on media reports)
745,11/1/2024,Adamawa,Mubi North,Bandit Attack,20,36,Armed Bandits,North East,Simulated (patterned on media reports)
653,1/29/2022,Katsina,Malumfashi,Terror Attack,21,17,Unknown Gunmen,North West,Simulated (patterned on media reports)
626,7/27/2024,Plateau,Langtang North,Kidnapping,122,14,Unknown Gunmen,North Central,Simulated (patterned on media reports)
216,7/12/2025,Kebbi,Birnin Kebbi,Terror Attack,22,33,ISWAP,North West,Simulated (patterned on media reports)
520,5/12/2024,Anambra,Nnewi North,Kidnapping,40,1,Criminal Syndicate,South East,Simulated (patterned on media reports)
495,10/4/2020,Adamawa,Ganye,Bandit Attack,75,6,Boko Haram,North East,Simulated (patterned on media reports)
833,8/31/2021,Adamawa,Mubi North,School Abduction,136,23,Boko Haram,North East,Simulated (patterned on media reports)
454,6/3/2025,Adamawa,Yola North,Terror Attack,27,17,Boko Haram,North East,Simulated (patterned on media reports)
353,1/11/2020,Borno,Bama,Bandit Attack,78,19,Armed Bandits,North East,Simulated (patterned on media reports)
550,5/17/2023,Borno,Monguno,Kidnapping,88,21,Unknown Gunmen,North East,Simulated (patterned on media reports)
281,3/13/2023,Zamfara,Gusau,Kidnapping,93,10,Boko Haram,North West,Simulated (patterned on media reports)
248,10/17/2023,Kogi,Idah,Kidnapping,25,3,Armed Bandits,North Central,Simulated (patterned on media reports)
214,7/10/2020,Plateau,Langtang North,School Abduction,106,19,Armed Bandits,North Central,Simulated (patterned on media reports)
138,5/27/2024,Zamfara,Shinkafi,Terror Attack,58,27,Unknown Gunmen,North West,Simulated (patterned on media reports)
397,3/14/2024,Katsina,Dutsin-Ma,School Abduction,124,3,ISWAP,North West,Simulated (patterned on media reports)
303,11/17/2024,Adamawa,Mubi North,Terror Attack,31,32,ISWAP,North East,Simulated (patterned on media reports)
544,10/13/2022,Niger,Kontagora,Kidnapping,88,9,Unknown Gunmen,North Central,Simulated (patterned on media reports)
45,12/13/2023,Adamawa,Numan,Terror Attack,21,23,Boko Haram,North East,Simulated (patterned on media reports)
391,7/12/2020,Katsina,Dutsin-Ma,Bandit Attack,46,30,Unknown Gunmen,North West,Simulated (patterned on media reports)
740,2/12/2023,Borno,Dikwa,Terror Attack,6,4,ISWAP,North East,Simulated (patterned on media reports)
449,5/14/2025,Katsina,Kankara,Terror Attack,20,15,Armed Bandits,North West,Simulated (patterned on media reports)
209,8/17/2022,FCT,Kuje,Kidnapping,101,12,ISWAP,North Central,Simulated (patterned on media reports)
199,1/12/2020,Sokoto,Isa,Bandit Attack,63,27,Boko Haram,North West,Simulated (patterned on media reports)
669,8/8/2021,Sokoto,Rabah,Kidnapping,119,20,Armed Bandits,North West,Simulated (patterned on media reports)
517,11/2/2020,Yobe,Geidam,Bandit Attack,30,13,Unknown Gunmen,North East,Simulated (patterned on media reports)
329,8/22/2023,FCT,Abaji,Kidnapping,82,25,Boko Haram,North Central,Simulated (patterned on media reports)
450,7/13/2020,Zamfara,Talata Mafara,School Abduction,108,1,Unknown Gunmen,North West,Simulated (patterned on media reports)
627,7/8/2020,Kaduna,Chikun,School Abduction,56,8,Boko Haram,North West,Simulated (patterned on media reports)
584,6/19/2020,Kebbi,Argungu,Kidnapping,133,7,Armed Bandits,North West,Simulated (patterned on media reports)
827,6/7/2022,Sokoto,Gwadabawa,Kidnapping,46,9,Boko Haram,North West,Simulated (patterned on media reports)
315,2/7/2021,Kebbi,Jega,School Abduction,108,2,Unknown Gunmen,North West,Simulated (patterned on media reports)
137,5/10/2025,Kebbi,Jega,Kidnapping,19,1,Unknown Gunmen,North West,Simulated (patterned on media reports)
844,3/13/2023,Kaduna,Birnin Gwari,Kidnapping,118,15,Boko Haram,North West,Simulated (patterned on media reports)
362,8/3/2022,FCT,Abaji,Kidnapping,85,4,Unknown Gunmen,North Central,Simulated (patterned on media reports)
494,7/6/2020,Kebbi,Jega,Terror Attack,23,14,Boko Haram,North West,Simulated (patterned on media reports)
61,2/13/2024,Kwara,Omu-Aran,Terror Attack,29,29,ISWAP,North Central,Simulated (patterned on media reports)
665,9/8/2024,Kebbi,Zuru,Terror Attack,4,19,ISWAP,North West,Simulated (patterned on media reports)
526,5/27/2023,Katsina,Daura,Terror Attack,66,15,Armed Bandits,North West,Simulated (patterned on media reports)
175,2/17/2024,Zamfara,Bungudu,Bandit Attack,79,26,Armed Bandits,North West,Simulated (patterned on media reports)
537,10/17/2020,Benue,Makurdi,School Abduction,39,22,Boko Haram,North Central,Simulated (patterned on media reports)
67,6/22/2020,Niger,Suleja,Terror Attack,31,16,Boko Haram,North Central,Simulated (patterned on media reports)
821,10/1/2023,Katsina,Malumfashi,Kidnapping,51,18,Armed Bandits,North West,Simulated (patterned on media reports)
778,5/31/2020,Yobe,Nguru,Terror Attack,13,18,ISWAP,North East,Simulated (patterned on media reports)
382,2/3/2024,Katsina,Funtua,Bandit Attack,35,27,Boko Haram,North West,Simulated (patterned on media reports)
486,9/23/2020,Niger,Rafi,Kidnapping,92,19,Boko Haram,North Central,Simulated (patterned on media reports)
219,6/11/2020,Nasarawa,Keffi,School Abduction,47,2,ISWAP,North Central,Simulated (patterned on media reports)
576,10/4/2024,Kaduna,Kauru,Bandit Attack,77,37,Boko Haram,North West,Simulated (patterned on media reports)
347,10/11/2021,Zamfara,Anka,Kidnapping,50,22,ISWAP,North West,Simulated (patterned on media reports)
546,10/1/2020,Kebbi,Birnin Kebbi,Bandit Attack,68,2,ISWAP,North West,Simulated (patterned on media reports)
801,5/31/2020,Kaduna,Kauru,Kidnapping,90,4,Armed Bandits,North West,Simulated (patterned on media reports)
810,3/5/2022,Adamawa,Ganye,Kidnapping,29,22,ISWAP,North East,Simulated (patterned on media reports)
779,3/9/2025,Sokoto,Gwadabawa,Kidnapping,79,11,Unknown Gunmen,North West,Simulated (patterned on media reports)
399,10/15/2022,Kebbi,Argungu,School Abduction,99,0,Boko Haram,North West,Simulated (patterned on media reports)
77,6/12/2023,Borno,Bama,Bandit Attack,48,15,Armed Bandits,North East,Simulated (patterned on media reports)
197,2/20/2020,Abia,Arochukwu,Kidnapping,13,3,Unknown Gunmen,South East,Simulated (patterned on media reports)
632,4/8/2025,Kano,Nassarawa,Terror Attack,70,3,Boko Haram,North West,Simulated (patterned on media reports)
752,4/21/2023,Sokoto,Rabah,Kidnapping,60,1,Armed Bandits,North West,Simulated (patterned on media reports)
571,2/23/2022,Kwara,Patigi,School Abduction,107,23,ISWAP,North Central,Simulated (patterned on media reports)
406,2/13/2020,Kebbi,Zuru,School Abduction,48,24,Boko Haram,North West,Simulated (patterned on media reports)
513,1/23/2025,Kebbi,Zuru,Bandit Attack,29,32,Unknown Gunmen,North West,Simulated (patterned on media reports)
339,3/9/2020,Kogi,Okene,Bandit Attack,47,35,Unknown Gunmen,North Central,Simulated (patterned on media reports)
896,6/4/2022,Yobe,Potiskum,Bandit Attack,45,33,Unknown Gunmen,North East,Simulated (patterned on media reports)
228,2/4/2020,Sokoto,Illela,Bandit Attack,20,2,Armed Bandits,North West,Simulated (patterned on media reports)
670,3/26/2020,Kwara,Omu-Aran,Kidnapping,149,6,ISWAP,North Central,Simulated (patterned on media reports)
205,12/14/2023,Nasarawa,Karu,Bandit Attack,10,6,Boko Haram,North Central,Simulated (patterned on media reports)
746,3/31/2022,Sokoto,Rabah,School Abduction,146,18,Armed Bandits,North West,Simulated (patterned on media reports)
193,8/16/2020,Benue,Gboko,Kidnapping,132,12,ISWAP,North Central,Simulated (patterned on media reports)
875,6/23/2025,Sokoto,Gwadabawa,Kidnapping,10,24,ISWAP,North West,Simulated (patterned on media reports)
795,1/31/2023,Borno,Gwoza,Kidnapping,99,1,Armed Bandits,North East,Simulated (patterned on media reports)
775,11/9/2025,Zamfara,Bungudu,Terror Attack,34,2,Armed Bandits,North West,Simulated (patterned on media reports)
482,9/24/2023,Sokoto,Isa,Bandit Attack,1,18,Armed Bandits,North West,Simulated (patterned on media reports)
835,11/28/2022,Kaduna,Zaria,Terror Attack,56,5,Armed Bandits,North West,Simulated (patterned on media reports)
466,1/19/2024,Adamawa,Yola North,School Abduction,137,6,Unknown Gunmen,North East,Simulated (patterned on media reports)
808,4/30/2023,Sokoto,Isa,Terror Attack,18,39,Armed Bandits,North West,Simulated (patterned on media reports)
886,7/21/2025,Kano,Dawakin Tofa,School Abduction,120,12,Boko Haram,North West,Simulated (patterned on media reports)
97,7/6/2020,Kebbi,Birnin Kebbi,Kidnapping,121,18,Armed Bandits,North West,Simulated (patterned on media reports)
892,9/7/2025,Kaduna,Chikun,School Abduction,101,11,Boko Haram,North West,Simulated (patterned on media reports)
327,3/4/2024,Katsina,Kankara,Terror Attack,70,4,Armed Bandits,North West,Simulated (patterned on media reports)
295,1/30/2022,Nasarawa,Keffi,School Abduction,52,16,ISWAP,North Central,Simulated (patterned on media reports)
211,6/28/2022,Yobe,Potiskum,School Abduction,131,7,Boko Haram,North East,Simulated (patterned on media reports)
441,3/8/2024,Borno,Gwoza,Kidnapping,134,6,Boko Haram,North East,Simulated (patterned on media reports)
784,6/30/2025,Plateau,Langtang North,Kidnapping,16,10,Unknown Gunmen,North Central,Simulated (patterned on media reports)
79,1/5/2020,Yobe,Machina,Kidnapping,108,12,Unknown Gunmen,North East,Simulated (patterned on media reports)
266,12/26/2023,Kaduna,Birnin Gwari,School Abduction,90,19,ISWAP,North West,Simulated (patterned on media reports)
830,10/25/2024,Sokoto,Wurno,Bandit Attack,46,12,ISWAP,North West,Simulated (patterned on media reports)
429,9/24/2025,Kaduna,Kauru,Terror Attack,76,13,Armed Bandits,North West,Simulated (patterned on media reports)
142,2/28/2020,Nasarawa,Karu,Bandit Attack,71,30,ISWAP,North Central,Simulated (patterned on media reports)
583,3/16/2020,Plateau,Mangu,Kidnapping,137,2,ISWAP,North Central,Simulated (patterned on media reports)
744,6/23/2024,Zamfara,Gusau,School Abduction,23,25,Boko Haram,North West,Simulated (patterned on media reports)
364,8/23/2023,Kebbi,Argungu,Bandit Attack,68,38,Unknown Gunmen,North West,Simulated (patterned on media reports)
66,11/30/2021,Kebbi,Yauri,Terror Attack,5,4,Unknown Gunmen,North West,Simulated (patterned on media reports)
790,11/29/2023,Borno,Dikwa,Terror Attack,39,5,Armed Bandits,North East,Simulated (patterned on media reports)
292,10/27/2024,Kaduna,Birnin Gwari,Terror Attack,17,29,Unknown Gunmen,North West,Simulated (patterned on media reports)
604,7/31/2020,Kano,Nassarawa,Kidnapping,113,0,Boko Haram,North West,Simulated (patterned on media reports)
858,10/14/2022,Anambra,Idemili North,Kidnapping,43,1,Criminal Syndicate,South East,Simulated (patterned on media reports)
487,6/18/2024,Katsina,Kankara,Terror Attack,25,34,Armed Bandits,North West,Simulated (patterned on media reports)
236,11/27/2024,Adamawa,Michika,School Abduction,24,7,Boko Haram,North East,Simulated (patterned on media reports)
251,6/17/2024,Nasarawa,Lafia,Bandit Attack,75,27,Boko Haram,North Central,Simulated (patterned on media reports)
50,10/18/2022,FCT,Bwari,Terror Attack,50,25,Unknown Gunmen,North Central,Simulated (patterned on media reports)
658,1/12/2025,Sokoto,Rabah,Kidnapping,93,25,ISWAP,North West,Simulated (patterned on media reports)
310,2/8/2025,Katsina,Dutsin-Ma,Terror Attack,54,33,Unknown Gunmen,North West,Simulated (patterned on media reports)
710,6/8/2021,Kano,Nassarawa,Kidnapping,19,20,Boko Haram,North West,Simulated (patterned on media reports)
276,2/21/2022,Enugu,Nsukka,Kidnapping,24,0,Criminal Syndicate,South East,Simulated (patterned on media reports)
895,5/10/2021,Niger,Shiroro,School Abduction,64,0,Armed Bandits,North Central,Simulated (patterned on media reports)
166,9/17/2023,Niger,Kontagora,Kidnapping,124,11,Armed Bandits,North Central,Simulated (patterned on media reports)
514,9/20/2022,Kebbi,Yauri,School Abduction,95,5,ISWAP,North West,Simulated (patterned on media reports)
34,5/12/2022,Yobe,Damaturu,School Abduction,113,22,Boko Haram,North East,Simulated (patterned on media reports)
32,10/19/2025,Zamfara,Talata Mafara,Kidnapping,81,2,ISWAP,North West,Simulated (patterned on media reports)
674,12/16/2022,Yobe,Machina,Bandit Attack,77,29,Armed Bandits,North East,Simulated (patterned on media reports)
405,10/8/2020,Benue,Gboko,Bandit Attack,55,17,Armed Bandits,North Central,Simulated (patterned on media reports)
519,5/15/2022,Nasarawa,Keffi,Bandit Attack,40,15,ISWAP,North Central,Simulated (patterned on media reports)
431,12/16/2025,Kano,Nassarawa,Terror Attack,61,29,Boko Haram,North West,Simulated (patterned on media reports)
110,2/28/2024,Imo,Ideato North,Kidnapping,40,1,Criminal Syndicate,South East,Simulated (patterned on media reports)
78,7/23/2025,Abia,Arochukwu,Kidnapping,29,4,Criminal Syndicate,South East,Simulated (patterned on media reports)
413,5/23/2020,Plateau,Jos South,Terror Attack,5,2,Armed Bandits,North Central,Simulated (patterned on media reports)
313,10/20/2021,Sokoto,Rabah,Terror Attack,56,30,Boko Haram,North West,Simulated (patterned on media reports)
83,1/15/2020,Borno,Monguno,Terror Attack,4,6,ISWAP,North East,Simulated (patterned on media reports)
322,7/17/2025,Sokoto,Gwadabawa,Terror Attack,46,12,Unknown Gunmen,North West,Simulated (patterned on media reports)
650,6/24/2025,Borno,Maiduguri,Bandit Attack,0,18,ISWAP,North East,Simulated (patterned on media reports)
694,5/2/2020,Nasarawa,Keffi,School Abduction,125,6,ISWAP,North Central,Simulated (patterned on media reports)
361,12/25/2022,Zamfara,Talata Mafara,Bandit Attack,34,23,Boko Haram,North West,Simulated (patterned on media reports)
488,10/21/2022,Plateau,Jos South,Bandit Attack,60,18,Armed Bandits,North Central,Simulated (patterned on media reports)
465,9/21/2024,Kwara,Offa,School Abduction,41,6,Unknown Gunmen,North Central,Simulated (patterned on media reports)
6,7/22/2023,Yobe,Damaturu,Terror Attack,58,15,Unknown Gunmen,North East,Simulated (patterned on media reports)
55,6/4/2021,Kaduna,Chikun,Kidnapping,27,13,ISWAP,North West,Simulated (patterned on media reports)
735,9/12/2020,Katsina,Daura,Bandit Attack,18,39,Armed Bandits,North West,Simulated (patterned on media reports)
463,5/15/2025,Zamfara,Shinkafi,Bandit Attack,24,15,Unknown Gunmen,North West,Simulated (patterned on media reports)
324,11/21/2023,Kano,Fagge,School Abduction,59,17,Boko Haram,North West,Simulated (patterned on media reports)
368,9/11/2022,Benue,Otukpo,Kidnapping,136,22,Armed Bandits,North Central,Simulated (patterned on media reports)
98,7/5/2020,Katsina,Malumfashi,Terror Attack,69,8,ISWAP,North West,Simulated (patterned on media reports)
445,4/6/2024,Yobe,Machina,Bandit Attack,50,25,Boko Haram,North East,Simulated (patterned on media reports)
577,12/27/2024,Kogi,Lokoja,Kidnapping,16,6,Armed Bandits,North Central,Simulated (patterned on media reports)
898,4/15/2025,Sokoto,Illela,Bandit Attack,29,4,Armed Bandits,North West,Simulated (patterned on media reports)
579,12/30/2021,Nasarawa,Karu,School Abduction,46,12,Armed Bandits,North Central,Simulated (patterned on media reports)
780,12/15/2024,FCT,Abaji,Terror Attack,69,13,Unknown Gunmen,North Central,Simulated (patterned on media reports)
26,2/27/2024,Kaduna,Kauru,Bandit Attack,73,24,Unknown Gunmen,North West,Simulated (patterned on media reports)
85,4/23/2025,Sokoto,Gwadabawa,School Abduction,96,25,Armed Bandits,North West,Simulated (patterned on media reports)
11,4/5/2023,Kwara,Offa,Kidnapping,124,7,Unknown Gunmen,North Central,Simulated (patterned on media reports)
335,1/22/2024,Zamfara,Gusau,School Abduction,11,14,Armed Bandits,North West,Simulated (patterned on media reports)
245,7/24/2023,Plateau,Mangu,School Abduction,35,15,ISWAP,North Central,Simulated (patterned on media reports)
679,12/11/2024,Adamawa,Yola North,Terror Attack,33,36,ISWAP,North East,Simulated (patterned on media reports)
307,9/2/2023,Kogi,Lokoja,Bandit Attack,44,35,Armed Bandits,North Central,Simulated (patterned on media reports)
592,4/20/2020,Benue,Makurdi,Kidnapping,90,17,Armed Bandits,North Central,Simulated (patterned on media reports)
119,3/16/2023,Borno,Bama,Kidnapping,35,19,Boko Haram,North East,Simulated (patterned on media reports)
291,7/4/2021,Yobe,Damaturu,Kidnapping,61,17,ISWAP,North East,Simulated (patterned on media reports)
317,1/22/2021,Benue,Katsina-Ala,Kidnapping,111,0,Boko Haram,North Central,Simulated (patterned on media reports)
30,10/10/2021,Benue,Gboko,Kidnapping,112,20,Armed Bandits,North Central,Simulated (patterned on media reports)
56,3/10/2025,Borno,Gwoza,Bandit Attack,32,3,Unknown Gunmen,North East,Simulated (patterned on media reports)
418,10/20/2021,Katsina,Malumfashi,Kidnapping,20,7,Boko Haram,North West,Simulated (patterned on media reports)
600,3/22/2020,Kaduna,Kauru,School Abduction,57,9,Armed Bandits,North West,Simulated (patterned on media reports)
851,1/5/2020,Katsina,Malumfashi,School Abduction,78,10,Armed Bandits,North West,Simulated (patterned on media reports)
369,8/24/2021,Kano,Gwale,Kidnapping,61,11,ISWAP,North West,Simulated (patterned on media reports)
82,2/11/2025,Kogi,Lokoja,Bandit Attack,12,34,ISWAP,North Central,Simulated (patterned on media reports)
630,9/7/2021,Kano,Fagge,Terror Attack,80,6,Boko Haram,North West,Simulated (patterned on media reports)
376,7/21/2022,Kogi,Idah,Terror Attack,76,20,Unknown Gunmen,North Central,Simulated (patterned on media reports)
863,3/31/2021,Kogi,Lokoja,Terror Attack,5,40,ISWAP,North Central,Simulated (patterned on media reports)
427,2/18/2025,Kaduna,Birnin Gwari,Bandit Attack,0,31,Boko Haram,North West,Simulated (patterned on media reports)
788,10/9/2023,Kano,Gwale,Kidnapping,127,5,Boko Haram,North West,Simulated (patterned on media reports)
570,2/20/2022,Kogi,Anyigba,School Abduction,111,3,ISWAP,North Central,Simulated (patterned on media reports)
698,3/4/2021,Nasarawa,Lafia,Bandit Attack,74,28,Unknown Gunmen,North Central,Simulated (patterned on media reports)
287,8/27/2020,Kogi,Okene,Kidnapping,24,8,ISWAP,North Central,Simulated (patterned on media reports)
715,7/2/2024,Katsina,Daura,Bandit Attack,70,3,ISWAP,North West,Simulated (patterned on media reports)
540,5/4/2022,Kogi,Ankpa,Kidnapping,107,13,Boko Haram,North Central,Simulated (patterned on media reports)
358,8/20/2025,Kaduna,Birnin Gwari,Kidnapping,48,13,Boko Haram,North West,Simulated (patterned on media reports)
769,4/17/2023,Kebbi,Zuru,School Abduction,36,8,Unknown Gunmen,North West,Simulated (patterned on media reports)
846,5/24/2020,Borno,Bama,Kidnapping,35,4,Armed Bandits,North East,Simulated (patterned on media reports)
719,5/9/2022,Adamawa,Numan,Bandit Attack,50,36,Boko Haram,North East,Simulated (patterned on media reports)
395,4/19/2024,Adamawa,Michika,School Abduction,126,0,ISWAP,North East,Simulated (patterned on media reports)
501,7/29/2020,Kwara,Patigi,School Abduction,99,8,Armed Bandits,North Central,Simulated (patterned on media reports)
366,10/11/2023,Adamawa,Michika,Bandit Attack,15,24,Boko Haram,North East,Simulated (patterned on media reports)
731,10/19/2024,Sokoto,Illela,School Abduction,59,25,ISWAP,North West,Simulated (patterned on media reports)
483,1/6/2023,FCT,Kuje,School Abduction,91,17,Armed Bandits,North Central,Simulated (patterned on media reports)
410,6/17/2024,Adamawa,Mubi North,School Abduction,33,16,Boko Haram,North East,Simulated (patterned on media reports)
474,12/23/2022,Kogi,Anyigba,Terror Attack,60,1,ISWAP,North Central,Simulated (patterned on media reports)
293,8/7/2022,Plateau,Jos South,School Abduction,58,20,Armed Bandits,North Central,Simulated (patterned on media reports)
8,10/23/2023,Kano,Nassarawa,School Abduction,24,5,Boko Haram,North West,Simulated (patterned on media reports)
452,3/11/2024,Kaduna,Birnin Gwari,School Abduction,127,16,Unknown Gunmen,North West,Simulated (patterned on media reports)
156,2/14/2020,Kebbi,Birnin Kebbi,Kidnapping,86,1,Unknown Gunmen,North West,Simulated (patterned on media reports)
352,12/4/2021,Sokoto,Wurno,Bandit Attack,36,0,Boko Haram,North West,Simulated (patterned on media reports)
430,3/23/2022,Kebbi,Argungu,Kidnapping,145,21,Unknown Gunmen,North West,Simulated (patterned on media reports)
102,6/19/2025,Sokoto,Rabah,Bandit Attack,6,14,Armed Bandits,North West,Simulated (patterned on media reports)
200,1/11/2020,Kano,Nassarawa,Terror Attack,30,27,ISWAP,North West,Simulated (patterned on media reports)
614,6/24/2025,Zamfara,Talata Mafara,Bandit Attack,33,0,Armed Bandits,North West,Simulated (patterned on media reports)
529,9/2/2025,Zamfara,Anka,Terror Attack,15,2,Unknown Gunmen,North West,Simulated (patterned on media reports)
816,9/9/2024,Katsina,Dutsin-Ma,Kidnapping,43,22,Unknown Gunmen,North West,Simulated (patterned on media reports)
381,9/6/2021,Kebbi,Birnin Kebbi,School Abduction,113,15,Boko Haram,North West,Simulated (patterned on media reports)
301,11/27/2021,Kaduna,Zaria,Kidnapping,60,11,Armed Bandits,North West,Simulated (patterned on media reports)
417,1/17/2024,Sokoto,Illela,Kidnapping,133,0,ISWAP,North West,Simulated (patterned on media reports)
879,4/16/2021,Katsina,Dutsin-Ma,Terror Attack,8,17,ISWAP,North West,Simulated (patterned on media reports)
320,3/23/2020,Adamawa,Mubi North,School Abduction,53,15,Boko Haram,North East,Simulated (patterned on media reports)
3,9/25/2020,Yobe,Damaturu,Terror Attack,4,8,Boko Haram,North East,Simulated (patterned on media reports)
255,10/6/2024,Adamawa,Mubi North,Kidnapping,95,1,Boko Haram,North East,Simulated (patterned on media reports)
508,12/24/2023,Yobe,Geidam,Kidnapping,102,23,Armed Bandits,North East,Simulated (patterned on media reports)
500,12/21/2021,Kwara,Ilorin West,Terror Attack,24,14,Boko Haram,North Central,Simulated (patterned on media reports)
267,6/18/2020,Kebbi,Yauri,Bandit Attack,46,19,Unknown Gunmen,North West,Simulated (patterned on media reports)
159,10/13/2024,Kogi,Lokoja,Terror Attack,73,27,Boko Haram,North Central,Simulated (patterned on media reports)
522,7/17/2025,Kebbi,Argungu,Bandit Attack,71,23,Armed Bandits,North West,Simulated (patterned on media reports)
837,11/9/2020,Katsina,Daura,Bandit Attack,0,0,Boko Haram,North West,Simulated (patterned on media reports)
568,6/27/2023,Kebbi,Jega,Terror Attack,26,9,Boko Haram,North West,Simulated (patterned on media reports)
333,7/14/2023,Katsina,Kankara,School Abduction,55,20,Unknown Gunmen,North West,Simulated (patterned on media reports)
433,6/18/2025,Kebbi,Argungu,Kidnapping,134,4,Armed Bandits,North West,Simulated (patterned on media reports)
306,3/19/2020,Kebbi,Argungu,Bandit Attack,45,15,Armed Bandits,North West,Simulated (patterned on media reports)
437,3/8/2022,Anambra,Nnewi North,Kidnapping,10,2,Unknown Gunmen,South East,Simulated (patterned on media reports)
527,3/14/2025,Enugu,Oji River,Kidnapping,9,0,Unknown Gunmen,South East,Simulated (patterned on media reports)
409,12/18/2024,Sokoto,Rabah,Bandit Attack,70,28,Armed Bandits,North West,Simulated (patterned on media reports)
